nome,idade,naturalidade,equipe,pais
Ayrton Senna,62,São Paulo,Toleman,Brasil
Emerson Fittipaldi,76,São Paulo,Lotus,Brasil
José Carlos Pace,78,São Paulo,Willys,Brasil
Lewis Hamilton,37,Stevenage,McLaren,Inglaterra
Max Verstappen,25,Hasselt,Toro Rosso,Bélgica
Michael Schumacher,53,Hürth,Jordan,Alemanha
Nelson Piquet,70,Rio de Janeiro,Ensign,Brasil
Rubens Barrichello,50,São Paulo,Jordan,Brasil
Jos Verstappen,50,Montfort,Bennetton,Holanda
Sebastian Vettel,35,Heppenhein,Sauber,Alemanha
Nigel Mansell,69,Upton-upon-Severn,Lotus,Inglaterra
Nico Rosberg,37,Wiesbaden,Williams,Alemanha
Jenson Button,42,Frome,Williams,Inglaterra
